location	strings	target	target-marathi-final
Aggregate#1	Vector geometry		
Aggregate#2	Aggregate		
Aggregate#3	Input layer	आगत लेयर	
Aggregate#4	Group by expression (NULL to group all features)		
AggregatesModel#1	Input expression		
AggregatesModel#2	Aggregate function		
AggregatesModel#3	Delimiter		
AggregatesModel#4	Output field name	निर्गम स्‍तंभ का नाम	
AggregatesModel#5	Type	प्रकार	
AggregatesModel#6	Length	लंबाई	
AggregatesModel#7	Precision	शुद्धता	
AlgorithmClassification#1	Polygon intersection	बहुभुज प्रतिच्छेदन	
AlgorithmClassification#2	Vectorize raster layer	रास्टर लेयर को वेक्टराइज करें	
AlgorithmClassification#3	Interpolate (Inverse distance weighting)	अंतरवेषण (इनवर्स डिस्टेंस वेटिंग)	
AlgorithmClassification#4	RGB to PCT	RGB से PCT	
AlgorithmClassification#5	Rasterize vector layer	वेक्टर लेयर को रास्टराइज करें	
AlgorithmClassification#6	Polygon identity	बहुभुज का पहचान	
AlgorithmClassification#7	Polygon dissolve (all polygons)	बहुभुज विलय (सभी बहुभुज)	
AlgorithmClassification#8	Polygon union	बहुभुज संघटन	
AlgorithmClassification#9	Interpolate (Natural neighbor)	अंतरवेषित करें (प्राकृतिक पडोसी)	
AlgorithmClassification#10	Merge raster layers	रास्टर लेयरों का विलय करें	
AlgorithmClassification#11	Remove small pixel clumps (nearest neighbour)	पिक्सल के छोटे समूहों को हटायें (निकटतम पडोसी)	
AlgorithmClassification#12	Interpolate (Nearest Neighbor)	अंतरवेषित करें (निकटतम पडोसी)	
AlgorithmClassification#13	Interpolate (Cubic spline)	अंतरवेषित करें (घनीय स्प्लाइन)	
AlgorithmClassification#14	Interpolate (Data metrics)	अंतरवेषण (डेटा मेट्रिक्स)	
AlgorithmClassification#15	Reproject raster layer	रास्टर लेयर को पुनःप्रक्षेपित करें	
AlgorithmClassification#16	Export raster layer	रास्टर लेयर को निर्यात करें	
AlgorithmClassification#17	PCT to RGB	PCT से RGB	
AlgorithmClassification#18	Export vector layer	वेक्टर लेयर को निर्यात करें	
AlgorithmClassification#19	Polygon dissolve (by attribute)	बहुभुज विलय (गुणधर्म के आधार पर)	
AlgorithmClassification#20	Remove small pixel clumps (to no-data)	पिक्सल के छोटे समूहों को हटायें (नो डेटा में बदलें)	
AlgorithmClassification#21	Interpolate (Modified quadratic shepard)	अंतरवेषित करें (संशोधित द्विघात षेपार्ड)	
AlgorithmClassification#22	Merge vector layers	वेक्टर लेयरों का विलय करें	
AlgorithmClassification#23	Reclassify (simple)	पुनः वर्गीकृत करें (सरल)	
AlgorithmClassification#24	Execute SQL on vector layer	वेक्टर लेयर पर SQL निष्पादित करें	
AlgorithmClassification#25	Raster layer information	रास्टर लेयर की जानकारी	
AlgorithmClassification#26	Contour lines	समोच्च रेखायें	
AlgorithmClassification#27	Create graticule	रेखाजाल का निर्माण करें	
AlgorithmClassification#28	Fire spreading simulation	अग्नि फ़ैलाव सिमुलेशन	
AlgorithmClassification#29	Polygon difference	बहुभुज अंतर	
AlgorithmClassification#30	Create graticule from extent	विस्तार से रेखाजाल का निर्माण करें	
AlgorithmClassification#31	Polygon symmetrical difference	बहुभुज सममित अंतर	
AlgorithmClassification#32	Vector layer information	वेक्टर लेयर की जानकारी	
AlgorithmClassification#33	Polygon update	बहुभुज अद्यतन	
AlgorithmClassification#34	Interpolate (Average)	अंतरवेषित करें (औसत)	
AlgorithmDialog#1	Run as batch process...		
AlgorithmDialog#2	Run as Batch Process…		
AlgorithmDialog#3	Unmatching CRS's	बेमेल CRS's	
AlgorithmDialog#4	Layers do not all use the same CRS. This can cause unexpected results. Do you want to continue?	लेयरें सभी जगह एक ही CRS का उपयोग नहीं करती हैं. इसके अप्रत्याशित परिणाम हो सकते है. क्‍या आप जारी रखना चाहते हैं?	
AlgorithmDialog#5	Extent CRS		
AlgorithmDialog#6	Extent parameters must use the same CRS as the input layers. Your input layers do not have the same extent as the project, so the extent might be in a wrong CRS if you have selected it from the canvas. Do you want to continue?		
AlgorithmDialog#7	Unable to execute algorithm	एल्‍गोरिदम निष्‍पादित करने में असमर्थ	
AlgorithmDialog#8	Processing algorithm...	एल्‍गोरिदम प्रोसेसिंग कर रहा...	
AlgorithmDialog#9	<b>Algorithm '{0}' starting...</b>		
AlgorithmDialog#10	Input parameters:		
AlgorithmDialog#11	Execution completed in {0:0.2f} seconds		
AlgorithmDialog#12	Results:		
AlgorithmDialog#13	Execution failed after {0:0.2f} seconds		
AlgorithmDialog#14	Wrong or missing parameter value: {0}		
AlgorithmDialog#15	Algorithm '{0}' finished		
AlgorithmDialog#16	<b>Algorithm %s starting...</b>	<b>एल्‍गोरिदम %s प्रारंभ हो रहा...</b>	
AlgorithmDialog#17	<b>Missing parameter value: %s</b>	<b>खोये हुये मापदंड मान: %s</b>	
AlgorithmDialog#18	Wrong or missing parameter values	गलत या खोये हुये मापदंड मान	
AlgorithmDialog#19	HTML output has been generated by this algorithm. Open the results dialog to check it.	इस एल्‍गोरिदम के द्वारा HTML निर्गम तैयार किया गया. इसे जांचने के लिये परिणाम संवाद खोलें.	
AlgorithmDialogBase#1	Run	चलायें	
AlgorithmDialogBase#2	<p>Downloading algorithm help... Please wait.</p>		
AlgorithmDialogBase#3	<h2>No help available for this algorithm</h2><p>{}</p>		
AlgorithmLocatorFilter#1	Processing Algorithms		
AlgorithmLocatorFilter#2	Missing dependency	गुम निर्भरता	
AlgorithmProvider#1	Activate	सक्रिय	
AlgorithmProvider#2	Generic algorithm provider	जेनेरिक एल्‍गोरिदम प्रदाता	
Aspect#1	Raster terrain analysis		
Aspect#2	Elevation layer	ऊंचाई लेयर	
Aspect#3	Z factor	Z कारक	
Aspect#4	Aspect	ढाल-कोण	
AssignProjection#1	Assign projection	प्रक्षेपण निर्धारित करें	
AssignProjection#2	[GDAL] Projections	[जीडाल] प्रक्षेपण	
AssignProjection#3	Input layer	आगत लेयर	
AssignProjection#4	Desired CRS		
AssignProjection#5	Layer with projection		
AssignProjection#6	Raster projections		
AutoincrementalField#1	Vector table tools	वेक्टर टेबल साधन	
AutoincrementalField#2	Input layer	आगत लेयर	
AutoincrementalField#3	Incremented	वृद्धि	
AutoincrementalField#4	Add autoincremental field	स्वतः वृद्धिशील स्तंभ	
BarPlot#1	Graphics	ग्राफ़िक्स	
BarPlot#2	Input table	आगत टेबल	
BarPlot#3	Input layer	आगत लेयर	
BarPlot#4	Category name field	श्रेणी नाम स्‍तंभ	
BarPlot#5	Value field	मान स्‍तंभ	
BarPlot#6	Bar plot	बार प्लाट	
BarPlot#7	HTML files (*.html)		
BasicStatisticsForField#1	stats,statistics,date,time,datetime,string,number,text,table,layer,maximum,minimum,mean,average,standard,deviation,count,distinct,unique,variance,median,quartile,range,majority,minority		
BasicStatisticsForField#2	Vector analysis		
BasicStatisticsForField#3	Input layer	आगत लेयर	
BasicStatisticsForField#4	Field to calculate statistics on	आंकड़ों की गणना हेतु स्‍तंभ	
BasicStatisticsForField#5	Statistics	आँकड़े	
BasicStatisticsForField#6	HTML files (*.html)		
BasicStatisticsForField#7	Count	गिनती	
BasicStatisticsForField#8	Number of unique values	अद्वितीय मानों की संख्या	
BasicStatisticsForField#9	Number of empty (null) values		
BasicStatisticsForField#10	Number of non-empty values	गैर रिक्त मानों की संख्या	
BasicStatisticsForField#11	Minimum value	न्यूनतम मान	
BasicStatisticsForField#12	Maximum value	अधिकतम मान	
BasicStatisticsForField#13	Minimum length	न्यूनतम लंबाई	
BasicStatisticsForField#14	Maximum length	अधिकतम लंबाई	
BasicStatisticsForField#15	Mean length	औसत लंबाई	
BasicStatisticsForField#16	Coefficient of Variation	गुणांक परिवर्तन	
BasicStatisticsForField#17	Sum	योग	
BasicStatisticsForField#18	Mean value	औसत मान	
BasicStatisticsForField#19	Standard deviation	मानक विचलन	
BasicStatisticsForField#20	Range	रेंज	
BasicStatisticsForField#21	Median	माध्यिका	
BasicStatisticsForField#22	Minority (rarest occurring value)	अल्पसंख्यक (सबसे कम पाया जाने वाला मान)	
BasicStatisticsForField#23	Majority (most frequently occurring value)	बहुसंख्यक (सबसे अधिक पाया जाने वाला मान)	
BasicStatisticsForField#24	First quartile	प्रथम चतुर्थक	
BasicStatisticsForField#25	Third quartile	तीसरा चतुर्थक	
BasicStatisticsForField#26	Interquartile Range (IQR)	अंतःचतुर्थक रेंज (IQR)	
BasicStatisticsForField#27	Basic statistics for fields		
BasicStatisticsForField#28	Analyzed field: {}		
BasicStatisticsForField#29	Count: {}		
BasicStatisticsForField#30	Unique values: {}		
BasicStatisticsForField#31	NULL (missing) values: {}		
BasicStatisticsForField#32	Minimum value: {}		
BasicStatisticsForField#33	Maximum value: {}		
BasicStatisticsForField#34	Range: {}		
BasicStatisticsForField#35	Sum: {}		
BasicStatisticsForField#36	Mean value: {}		
BasicStatisticsForField#37	Median value: {}		
BasicStatisticsForField#38	Standard deviation: {}		
BasicStatisticsForField#39	Coefficient of Variation: {}		
BasicStatisticsForField#40	Minority (rarest occurring value): {}		
BasicStatisticsForField#41	Majority (most frequently occurring value): {}		
BasicStatisticsForField#42	First quartile: {}		
BasicStatisticsForField#43	Third quartile: {}		
BasicStatisticsForField#44	Interquartile Range (IQR): {}		
BasicStatisticsForField#45	Minimum length: {}		
BasicStatisticsForField#46	Maximum length: {}		
BasicStatisticsForField#47	Mean length: {}		
BasicStatisticsNumbers#1	Vector table tools	वेक्टर टेबल साधन	
BasicStatisticsNumbers#2	Input vector layer	आगत वेक्टर लेयर	
BasicStatisticsNumbers#3	Field to calculate statistics on	पर आंकड़ों की गणना स्‍तंभ	
BasicStatisticsNumbers#4	Statistics	आँकड़े	
BasicStatisticsNumbers#5	Coefficient of Variation	गुणांक परिवर्तन	
BasicStatisticsNumbers#6	Minimum value	न्यूनतम मान	
BasicStatisticsNumbers#7	Maximum value	अधिकतम मान	
BasicStatisticsNumbers#8	Sum	योग	
BasicStatisticsNumbers#9	Mean value	औसत मान	
BasicStatisticsNumbers#10	Count	गिनती करें	
BasicStatisticsNumbers#11	Range	रेंज	
BasicStatisticsNumbers#12	Median	माध्यिका	
BasicStatisticsNumbers#13	Number of unique values	अद्वितीय मानों की संख्या	
BasicStatisticsNumbers#14	Minority (rarest occurring value)	अल्पसंख्यक (सबसे कम पाया जाने वाला मान)	
BasicStatisticsNumbers#15	Majority (most frequently occurring value)	बहुसंख्यक (सबसे अधिक पाया जाने वाला मान)	
BasicStatisticsNumbers#16	First quartile	प्रथल चतुर्थक	
BasicStatisticsNumbers#17	Third quartile	तीसरा चतुर्थक	
BasicStatisticsNumbers#18	NULL (missed) values		
BasicStatisticsNumbers#19	Interquartile Range (IQR)	अंतःचतुर्थक रेंज (IQR)	
BasicStatisticsNumbers#20	Analyzed layer: {}		
BasicStatisticsNumbers#21	Analyzed field: {}		
BasicStatisticsNumbers#22	Count: {}		
BasicStatisticsNumbers#23	Unique values: {}		
BasicStatisticsNumbers#24	Minimum value: {}		
BasicStatisticsNumbers#25	Maximum value: {}		
BasicStatisticsNumbers#26	Range: {}		
BasicStatisticsNumbers#27	Sum: {}		
BasicStatisticsNumbers#28	Mean value: {}		
BasicStatisticsNumbers#29	Median value: {}		
BasicStatisticsNumbers#30	Standard deviation: {}		
BasicStatisticsNumbers#31	Coefficient of Variation: {}		
BasicStatisticsNumbers#32	Minority (rarest occurring value): {}		
BasicStatisticsNumbers#33	Majority (most frequently occurring value): {}		
BasicStatisticsNumbers#34	First quartile: {}		
BasicStatisticsNumbers#35	Third quartile: {}		
BasicStatisticsNumbers#36	NULL (missing) values: {}		
BasicStatisticsNumbers#37	Interquartile Range (IQR): {}		
BasicStatisticsNumbers#38	Standard deviation	मानक विचलन	
BasicStatisticsNumbers#39	Basic statistics for numeric fields	अंकीय स्तंभों के लिए आधारभूत आँकड़े	
BasicStatisticsStrings#1	Vector table tools	वेक्टर टेबल साधन	
BasicStatisticsStrings#2	Input vector layer	आगत वेक्टर लेयर	
BasicStatisticsStrings#3	Field to calculate statistics on	पर आंकड़ों की गणना स्‍तंभ	
BasicStatisticsStrings#4	Statistics for text	वाक्य आंकड़े	
BasicStatisticsStrings#5	Minimum length	न्यूनतम लंबाई	
BasicStatisticsStrings#6	Maximum length	अधिकतम लंबाई	
BasicStatisticsStrings#7	Mean length	औसत लंबाई	
BasicStatisticsStrings#8	Count	गिनती करें	
BasicStatisticsStrings#9	Number of empty values	रिक्त मानों की संख्या	
BasicStatisticsStrings#10	Number of non-empty values	गैर रिक्त मानों की संख्या	
BasicStatisticsStrings#11	Number of unique values	अद्वितीय मानों की संख्या	
BasicStatisticsStrings#12	Analyzed layer: {}		
BasicStatisticsStrings#13	Analyzed field: {}		
BasicStatisticsStrings#14	Minimum length: {}		
BasicStatisticsStrings#15	Maximum length: {}		
BasicStatisticsStrings#16	Mean length: {}		
BasicStatisticsStrings#17	Filled values: {}		
BasicStatisticsStrings#18	NULL (missing) values: {}		
BasicStatisticsStrings#19	Count: {}		
BasicStatisticsStrings#20	Unique: {}		
BasicStatisticsStrings#21	Basic statistics for text fields	वाक्य स्तंभों के लिए आधारभूत आँकड़े	
BatchAlgorithmDialog#1	Batch Processing - %s	बैच प्रोसेसिंग - %s	
BatchAlgorithmDialog#2	<b>Missing parameter value: %s (row %d)</b>	<b>खोये हुए मापदंड मान: %s (पंक्ति %d)</b>	
BatchAlgorithmDialog#3	<b>Wrong or missing parameter value: %s (row %d)</b>	<b>गलत या खोये हुए मापदंड मान: %s (पंक्ति %d)</b>	
BatchAlgorithmDialog#4	Processing algorithm %d/%d...	प्रोसेसिंग एल्गोरिदम %d/%d...	
BatchAlgorithmDialog#5	Batch Processing - {0}		
BatchAlgorithmDialog#6	Wrong or missing parameter value: {0} (row {1})		
BatchAlgorithmDialog#7	Wrong or missing output value: {0} (row {1})		
BatchAlgorithmDialog#8	Processing algorithm {0}/{1}...		
BatchAlgorithmDialog#9	<b>Algorithm {0} starting...</b>		
BatchAlgorithmDialog#10	Input parameters:		
BatchAlgorithmDialog#11	Algorithm {0} correctly executed...		
BatchAlgorithmDialog#12	Execution completed in {0:0.2f} seconds		
BatchAlgorithmDialog#13	Results:		
BatchAlgorithmDialog#14	Batch execution completed in {0:0.2f} seconds		
BatchAlgorithmDialog#15	Batch processing completed	बैच प्रोसेसिंग समाप्त	
BatchAlgorithmDialog#16	<b>Algorithm %s starting...</b>	<b>एल्‍गोरिदम %s प्रारंभ हो रहा...</b>	
BatchAlgorithmDialog#17	Algorithm %s correctly executed...	एल्‍गोरिदम %s सही निष्‍पादित...	
BatchAlgorithmDialog#18	Batch processing	बैच प्रोसेसिंग	
BatchInputSelectionPanel#1	Select from open layers	ओपन लेयर्स से चयन करें	
BatchInputSelectionPanel#2	Select from file system		
BatchInputSelectionPanel#3	Select from filesystem	फाइलप्रणाली से चयन	
BatchInputSelectionPanel#4	Open file	फाइल खोलें	
BatchInputSelectionPanel#5	All files(*.*)		
BatchOutputSelectionPanel#1	Save file	फाइल संरक्षित करे	
BatchOutputSelectionPanel#2	Select directory	डायरेक्टरी का चयन करें	
BatchPanel#1	Load in QGIS	क्यू.जी.आई.एस. में लायें	
BatchPanel#2	Open Batch		
BatchPanel#3	Wrong or missing parameter value: {0} (row {1})		
BatchPanel#4	Wrong or missing output value: {0} (row {1})		
BatchPanel#5	Save Batch		
BatchPanel#6	Yes	हाँ	
BatchPanel#7	No	नहीं	
BatchPanel#8	Open batch		
BatchPanel#9	JSON files (*.json)		
BatchPanel#10	Error	गलती	
BatchPanel#11	An error occurred while reading your file.		
BatchPanel#12	<b>Missing parameter value: %s (row %d)</b>	<b>खोये हुए मापदंड मान: %s (पंक्ति %d)</b>	
BatchPanel#13	<b>Wrong or missing parameter value: %s (row %d)</b>	<b>गलत या खोये हुए मापदंड मान: %s (पंक्ति %d)</b>	
BatchPanel#14	Save batch		
BooleanWidgetWrapper#1	Yes	हाँ	
BooleanWidgetWrapper#2	No	नहीं	
BoxPlot#1	Graphics	ग्राफ़िक्स	
BoxPlot#2	Input layer	आगत लेयर	
BoxPlot#3	Category name field	श्रेणी नाम स्‍तंभ	
BoxPlot#4	Value field	मान स्‍तंभ	
BoxPlot#5	Show Mean		
BoxPlot#6	Show Standard Deviation		
BoxPlot#7	Don't show Mean and Standard Deviation		
BoxPlot#8	Additional Statistic Lines		
BoxPlot#9	Box plot		
BoxPlot#10	HTML files (*.html)		
Buffer#1	Input layer	आगत लेयर	
Buffer#2	Geometry column name	ज्यामिति कॉलम का नाम	
Buffer#3	Buffer distance	बफर दूरी	
Buffer#4	Dissolve by attribute	गुणधर्म द्वारा विलय	
Buffer#5	Dissolve all results	सभी परिणाम विलय करें	
Buffer#6	Produce one feature for each geometry in any kind of geometry collection in the source file		
Buffer#7	Additional creation options	अतिरिक्त निर्माण विकल्प	
Buffer#8	Buffer	बफर	
Buffer#9	Buffer vectors	बफ़र वेक्टर	
Buffer#10	Vector geoprocessing		
CalculatorModelerAlgorithm#1	Calculator	गणक	
CalculatorModelerAlgorithm#2	Modeler-only tools	केवल-मॉडलर साधन	
CalculatorModelerAlgorithm#3	Formula	सूत्र	
CalculatorModelerAlgorithm#4	Result	परिणाम	
CalculatorModelerAlgorithm#5	Wrong formula: %s	गलत सूत्र: %s	
CalculatorModelerParametersDialog#1	You can refer to model values in your formula, using single-letter variables, as follows:	अापके सूत्र में मॉडल मानों का संदर्भ ले सकते हैं, निम्‍न प्रकार से एकल-अक्षर वेरिएबलों उपयोग करते हुये:	
CalculatorModelerParametersDialog#2	- No numerical variables are available.	- कोई संख्यात्मक वेरिएबल्स उपलब्‍ध नहीं हैं.	
CalculatorModelerParametersDialog#3	[Enter your formula here]	[आपका सूत्र यहां दर्ज करें]	
CalculatorModelerParametersDialog#4	Calculator	गणक	
CanopyMaxima#1	Canopy Maxima	कैनोपी का अधिकतम मूल्य	
CanopyMaxima#2	Points	बिंदु	
CanopyMaxima#3	Input FUSION canopy height model	आगत FUSION कैनोपी ऊंचाई मॉडल	
CanopyMaxima#4	Input ground .dtm layer [optional]	आगत ग्राउंड .dtm लेयर [वैकल्पिक]	
CanopyMaxima#5	Height threshold	ऊंचाई दहलीज	
CanopyMaxima#6	Variable window size: parameter A	परिवर्तनीय विंडो आकार: मापदण्ड A	
CanopyMaxima#7	Parameter C	मापदंड C	
CanopyMaxima#8	Summary (tree height summary statistics)	सारांश (ट्री ऊंचाई सारांश आंकड़े)	
CanopyMaxima#9	Output file with maxima	निर्गम फाइल अधिकतम के साथ	
CanopyModel#1	Canopy Model	कैनोपी मॉडल	
CanopyModel#2	Points	बिंदु	
CanopyModel#3	Input LAS layer	आगत LAS लेयर	
CanopyModel#4	Cellsize	सेलआकार	
CanopyModel#5	XY Units	XY इकाइयाँ	
CanopyModel#6	Z Units	Z इकाइयॉ	
CanopyModel#7	.dtm output surface		
CanopyModel#8	Input ground DTM layer	आगत ग्राउंड DTM लेयर	
CanopyModel#9	Median	माध्यिका	
CanopyModel#10	Smooth	सुगम	
CanopyModel#11	Calculate slope	ढलान की गणना करे	
CanopyModel#12	Add an ASCII output	एक ASCII निर्गम जोडे	
CanopyModel#13	Class	वर्ग	
Catalog#1	Catalog	सूचक	
Catalog#2	Points	बिंदु	
Catalog#3	Input LAS layer	आगत LAS लेयर	
Catalog#4	Output files	निर्गम फाइलें	
Catalog#5	Density - area, min, max (set blank if not used)	सघनता - क्षेत्र, न्यूनतम, अधिकतम (यदि उपयोग नहीं तो रिक्त सेट करें)	
Catalog#6	First Density - area, min, max (set blank if not used)	प्रथम सघनता - क्षेत्र, न्यूनतम, अधिकतम (उपयोग न हो तो रिक्त सेट करें)	
Catalog#7	Intensity - area, min, max (set blank if not used)	सघनता - क्षेत्र, न्यूनतम, अधिकतम (उपयोग न हो तो रिक्त सेट करें)	
Catalog#8	Additional modifiers	अतिरिक्त संशोधक	
Centroids#1	Vector geometry tools	वेक्टर ज्यामिति साधन	
Centroids#2	Input layer	आगत लेयर	
Centroids#3	Centroids	केन्‍द्रक	
Centroids#4	Error calculating centroid	गणना केन्द्रक गलती	
Centroids#5	Polygon centroids	बहुभुज केन्द्रक	
CharacterWidget#1	<p>Character: <span style="font-size: 24pt; font-family: %1">%2</span><p>Value: 0x%3	<p>अक्षर: <span style="font-size: 24pt; font-family: %1">%2</span><p>मान: 0x%3	
CheckValidity#1	Vector geometry tools	वेक्टर ज्यामिति साधन	
CheckValidity#2	Vector geometry		
CheckValidity#3	valid,invalid,detect		
CheckValidity#4	The one selected in digitizing settings	अंकीकरण समायोजन में चुना हुआ	
CheckValidity#5	Input layer	आगत लेयर	
CheckValidity#6	Method	विधि	
CheckValidity#7	Valid output	वैध निर्गम	
CheckValidity#8	Count of valid features		
CheckValidity#9	Invalid output	अवैध निर्गम	
CheckValidity#10	Count of invalid features		
CheckValidity#11	Error output	गलत निर्गम	
CheckValidity#12	Count of errors		
CheckValidity#13	Check validity	वैधता जाँचें	
CheckboxesPanel#1	Select All	सभी का चयन करें	
CheckboxesPanel#2	Clear Selection		
Clip#1	Vector overlay tools	वेक्टर ओवरले साधन	
Clip#2	Input layer	आगत लेयर	
Clip#3	Clip layer	लेयर कतरें	
Clip#4	Clipped	कतरा हुआ	
Clip#5	GEOS geoprocessing error: One or more input features have invalid geometry.	GEOS भूप्रक्रियाऐ गलती: एक या अधिक निर्गम नक्शा-अनुभागों में अवैध ज्यामिति है.	
Clip#6	Feature geometry error: One or more output features ignored due to invalid geometry.	नक्शा-अनुभाग ज्यामिति गलती: एक या अधिक निर्गम नक्शा-अनुभाग अवैध ज्यामिति के कारण नजरअंदाज कर दिये गये.	
Clip#7	Clip	कतरें	
ClipByExtent#1	Input layer	आगत लेयर	
ClipByExtent#2	Clipping extent	कतरन विस्तार	
ClipByExtent#3	Output raster type	निर्गम रास्टर प्रकार	
ClipByExtent#4	GeoTIFF options. Compression type:	GeoTIFF विकल्प. संकोचन प्रकार:	
ClipByExtent#5	Set the JPEG compression level	JPEG संकोचन स्तर स्थापित करे	
ClipByExtent#6	Set the DEFLATE compression level	DEFLATE संकोचन स्तर स्थापित करे	
ClipByExtent#7	Set the predictor for LZW or DEFLATE compression	LZW या DEFLATE संकोचन के लिए प्रेडिक्टर सेट करे	
ClipByExtent#8	Create tiled output (only used for the GTiff format)	टाइल्ड निर्गम बनाए (केवल GTiff प्रारूप के लिए उपयोग किया जाता है)	
ClipByExtent#9	Control whether the created file is a BigTIFF or a classic TIFF		
ClipByExtent#10	Force the generation of an associated ESRI world file (.tfw))		
ClipByExtent#11	Additional creation parameters	अतिरिक्त निर्माण मापदंड	
ClipByExtent#12	Clipped (extent)	कतरा गया (विस्तार)	
ClipByExtent#13	Clip raster by extent	विस्तार के आधार पर रास्टर कतरें	
ClipByExtent#14	[GDAL] Extraction	[जीडाल] निकालना	
ClipByExtent#15	Nodata value, leave blank to take the nodata value from input	डाटानहीं मान, अगत से डाटानहीं मान लेने के लिए खाली छोड़ें	
ClipByMask#1	Input layer	आगत लेयर	
ClipByMask#2	Mask layer	नकाब लेयर	
ClipByMask#3	Create and output alpha band	एक निर्गम अल्फा बैंड बनावें	
ClipByMask#4	Crop the extent of the target dataset to the extent of the cutline		
ClipByMask#5	Keep resolution of output raster	निर्गत रास्टर का रिजॉल्‍यूशन रखें	
ClipByMask#6	Output raster type	निर्गम रास्टर प्रकार	
ClipByMask#7	GeoTIFF options. Compression type:	GeoTIFF विकल्प. संकोचन प्रकार:	
ClipByMask#8	Set the JPEG compression level	JPEG संकोचन स्तर स्थापित करे	
ClipByMask#9	Set the DEFLATE compression level	DEFLATE संकोचन स्तर स्थापित करे	
ClipByMask#10	Set the predictor for LZW or DEFLATE compression	LZW या DEFLATE संकोचन के लिए प्रेडिक्टर सेट करे	
